empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,creation_order,author
0,1,13.08333333,13.21453901,109,39,628,0,194,0,0.842105263,0,0.308917197,0,0,0,0,0,0,1,0,1,5,2,1,2,0,0,0,0.836734694,1,1,2,1,12.5,6.5,3,4,0.5,0.5,23,0.605263158,0,0,0,0,4,user1
0,1,16.85714286,9.931216931,71,43,472,0,112,0,0.592592593,0,0.237288136,3,0.428571429,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0.836734694,1,1,0,0,0,0,3,3,0,0,14,0.518518519,1,0,0,0,4,user1
0,1,15.26153846,16.68533654,225,38,992,0,403,0,0.857142857,0,0.40625,0,0,0,0,0,0,1,0,0,13,1,1,11,0,0,0,0.836734694,1,1,4,0,6.75,1.375,1,3,1,0.5,40,0.714285714,0,0,0,0,4,user1
0,1,13.28571429,15.47460317,226,47,1209,0,854,0,0.865853659,0,0.7063689,0,0,0,0,0,0,1,0,0,16,8,1,0,6,1,0,0.836734694,1,1,6,0.833333333,11,9.333333333,1,2,0.666666667,0.666666667,41,0.5,0,0,0,0,5,user1
0,1,20.45454545,22.68398268,83,37,450,0,118,0,0.9375,0,0.262222222,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0.836734694,1,1,0,0,0,0,3,3,0,0,16,1,0,0,0,0,5,user1
0,1,24.50641026,20.50715467,429,59,3823,0,454,0,1.177419355,0,0.118754905,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.836734694,1,1,1,0,5,0,1,3,1,0,93,0.75,0,0,0,0,6,user1
0,1,17.08588957,17.99856093,616,55,2785,0,1047,0,0.90070922,0,0.375942549,0,0,0,0,0,0,1,0,0,29,5,1,23,0,0,0,0.836734694,1,1,4,0,6.75,1.375,1,5,1,0.5,103,0.730496454,0,0,0,0,6,user1
0,1,17.54166667,13.91847826,66,25,421,0,128,0,0.80952381,0,0.304038005,12,0.941176471,0.25,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0.82,1,1,0,0,0,0,3,2,0,0,18,0.857142857,0,0,0,0,7,user1
0,1,18.60655738,18.784853,357,38,2270,0,731,0,0.859813084,0,0.322026432,0,0,0,0,0,0,1,0,0,18,4,3,11,0,0,0,0.811320755,1,1,3,1,5.666666667,1.777777778,1,3,0.333333333,0.444444444,64,0.598130841,0,0,0,0,7,user1
0,1,14.59090909,15.53463203,46,17,321,0,64,0,0.705882353,0,0.199376947,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.818181818,1,1,3,0.666666667,4.333333333,1.777777778,1,2,0.666666667,0.444444444,6,0.352941176,0,0,0,0,8,user1
0,1,20.2962963,19.49266247,178,46,1096,0,219,0,0.711111111,0,0.199817518,0,0,0,0,0,0,1,0,1,5,2,0,3,0,0,0,0.803571429,1,1,5,0,3.6,0.96,1,3,0.4,0.48,22,0.488888889,0,0,0,0,8,user1
0,1,18.76271186,17.65254237,200,58,1107,0,302,0,0.979166667,0,0.272809395,4,1,0.25,0.75,0,0,1,0,1,5,1,1,3,0,0,0,0.803571429,1,1,0,0,0,0,3,3,0,0,41,0.854166667,0,0,0,0,8,user1
0,1,22.91666667,19.18939394,40,19,275,0,32,0,0.555555556,0,0.116363636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,1,1,4,0,1,2,1,0,2,0.222222222,0,0,0,0,9,user1
0,1,19.78571429,15.72077922,155,55,1108,0,216,0,0.977272727,0,0.194945848,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.789473684,1,1,1,1,5,0,1,3,2,0,32,0.727272727,0,0,0,0,9,user1
0,1,20.9,20.57586207,89,34,627,0,86,0,0.695652174,0,0.137161085,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.789473684,1,1,4,0.25,4.25,1.375,1,4,0.75,0.375,7,0.304347826,0,0,0,0,9,user1
0,1,19.73684211,18.38888889,60,21,375,0,60,0,0.6,0,0.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,1,1,3,0,1,2,1,0,6,0.4,0,0,0,0,9,user1
0,1,32.11111111,31.40277778,47,28,289,0,32,0,0.25,0,0.110726644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,1,1,3,0,1,2,1,0,3,0.375,0,0,0,0,9,user10
0,1,22.56603774,14.1745283,171,59,1196,0,237,0,0.74,0,0.198160535,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.789473684,1,1,1,1,7,0,2,3,2,0,34,0.68,0,0,0,0,9,user10
0,1,27.55,25.70789474,84,44,551,0,54,0,0.411764706,0,0.09800363,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.789473684,1,1,4,0.25,3.25,0.375,1,2,0.75,0.375,7,0.411764706,0,0,0,1,9,user10
0,1,23.45454545,16.98181818,49,27,258,0,38,0,0.4,0,0.147286822,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,1,1,3,0,1,2,1,0,5,0.5,0,0,0,0,9,user10
0,1,28.84615385,21.33198381,200,54,1125,0,209,0,0.611111111,0,0.185777778,0,0,0,0,0,0,1,0,1,3,2,0,1,0,0,0,0.789473684,1,1,6,0,1,0,1,3,1,0,24,0.666666667,0,0,1,1,9,user10
0,1,28.91304348,18.49468599,209,75,1330,0,252,0,0.837209302,0,0.189473684,2,1,1,0,0,0,1,0,1,7,2,1,3,1,0,0,0.789473684,1,1,0,0,0,0,3,3,0,0,31,0.720930233,0,0,1,1,9,user10
0,1,23.5,20.73076923,43,17,329,0,45,0,0.454545455,0,0.136778116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,2,0,1,0,1,2,1,0,6,0.545454545,0,0,0,0,9,user10
0,1,36.34615385,25.58144796,314,146,1890,0,422,0,0.897959184,0,0.223280423,43,0.742424242,0,0.953488372,0.046511628,0,1,0,0,10,4,0,4,2,0,0,0.789473684,1,1,0,0,0,0,3,4,0,0,47,0.959183673,1,0,1,0,9,user10
0,1,20.69135802,14.79151235,283,74,1676,0,373,0,0.727272727,0,0.222553699,48,0.808510638,0,0.9375,0.0625,0,1,0,1,5,1,0,4,0,0,0,0.789473684,1,1,0,0,0,0,3,5,0,0,49,0.636363636,0,0,1,1,12,user10
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789473684,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,user10
0,1,35.40625,35.17641129,143,36,1133,0,193,0,0.777777778,0,0.170344219,7,1,0,0.857142857,0.142857143,0,1,0,1,0,0,0,0,0,0,0,0.789473684,1,1,0,0,0,0,3,5,0,0,17,0.62962963,1,0,0,0,2,user10
0,1,14.15384615,13.63692308,83,17,368,0,139,0,0.48,0,0.377717391,0,0,0,0,0,0,1,0,1,7,5,2,0,0,0,0,0.789473684,1,1,5,0.6,3.6,0.96,1,2,0.8,0.64,10,0.4,0,0,0,0,2,user10
0,1,21.76470588,16.97058824,66,31,370,0,78,0,0.666666667,0,0.210810811,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.789473684,1,1,0,0,0,0,3,2,0,0,10,0.666666667,0,0,0,0,3,user10
0,1,16,15.36363636,83,17,368,0,138,0,0.523809524,0,0.375,0,0,0,0,0,0,1,0,1,7,5,2,0,0,0,0,0.789473684,1,1,5,0.6,2.8,1.44,1,2,1.2,0.32,10,0.476190476,0,0,0,0,3,user10
0,1,26.62903226,18.57932311,296,64,1651,0,347,0,0.620689655,0,0.210175651,0,0,0,0,0,0,1,0,1,9,1,0,7,1,0,0,0.789473684,1,1,11,0.090909091,3.181818182,2.380165289,1,6,1.090909091,1.20661157,50,0.862068966,0,0,1,1,3,user10
0,1,17.06944444,13.71615806,227,46,1229,0,467,0,0.808823529,0,0.379983727,2,0.833333333,1,0,0,0,1,0,0,9,4,1,0,4,0,0,0.789473684,1,1,6,0.833333333,9,7.333333333,1,2,0.833333333,0.555555556,37,0.544117647,0,1,0,0,5,user10
